Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
crawford1_1_c_p.txt,1,15829,39.42,83.28,15.45,34.54,14.75,17.39,88.37,57.94,18,8.28,6.53,11.52,10.54,4.98,6.92,2.31,18.95,2.86,1.61,2.15,2.8,1.91,3.13,1.8,1.3,0.23,0.25,0.16,13.19,0.1,0.03,0.12,2.86,14.14,4.01,2.33,1.67,2.99,1.6,4.18,2.02,0.59,1.24,0.13,4.78,0.28,3.04,0,2.34,5.7,1.57,1.12,1.67,0.77,0.85,5.84,10.71,1.14,9.58,1.4,4.43,3.78,1.91,0.61,0.11,0.42,0.08,0.03,0.72,0,0.15,0.31,0.25,0.01
campbell3_0_c_d.txt,1,20038,39.94,87.26,12.5,28.51,14.38,17.63,85.83,56.09,18.03,7.46,5.92,11.23,9.76,5.05,6.58,2.24,18.84,2.58,1.43,2.03,2.88,1.74,2.85,1.49,1.32,0.12,0.21,0.1,14.37,0.33,0.11,2.48,1.49,13.89,4.29,2.16,1.55,2.89,1.48,3.72,2.32,0.78,1.37,0.11,3.79,0.34,2,0.01,1.87,6.02,1.73,1.43,1.4,0.88,0.8,7.39,9.28,0.93,9.75,1.04,4.68,4.18,2.16,0.34,0.08,0.31,0.02,0.19,0.57,0.02,0.1,0.25,0.17,0.01
haliburton1_0_c_p.txt,1,26268,40.95,86.5,12.89,37.84,11.67,16.48,86.46,56.4,18.25,8.23,6.72,10.7,10.63,4.74,5.61,2.35,18.97,2.38,1.36,1.74,2.43,1.91,3.72,2.19,1.51,0.08,0.6,0.15,14.56,0.06,0.09,0.39,1.9,12.04,2.89,1.86,1.49,2.42,1.25,3.67,2.11,0.7,1.19,0.16,3.63,0.49,2.18,0,1.66,6.12,1.74,1.18,2.09,1.03,0.76,5.2,11.51,1.15,9.32,1.7,4.28,3.56,2.72,0.31,0.11,0.66,0.04,0.31,0.85,0,0.09,0.51,0.22,0.01
mccabe1_1_c_p.txt,1,20219,48.63,80.98,15.78,31.42,12.01,18.91,86.76,56.28,16.95,8.08,6.93,12.06,10.08,4.45,6.77,2.16,17.38,3.15,1.95,1.66,2.48,1.95,3.56,1.92,1.59,0.24,0.3,0.29,12.19,0.18,0.09,1.55,0.44,13.33,3.65,2.08,1.43,2.96,1.17,4.28,1.91,0.69,0.79,0.31,4.48,0.5,2.87,0.01,1.86,5.64,1.38,1.07,1.85,1.07,0.67,4.62,11.1,0.75,9.36,1.37,4.95,3.13,2.71,0.31,0.12,0.47,0.06,0.35,0.9,0.01,0.19,0.6,0.09,0
harris1_0_c_p.txt,1,15127,37,85.19,18.8,20.74,14.19,14.58,89.54,57.98,19.15,9.46,5.83,12.1,9.49,6.18,6.39,2.33,17.51,3.31,2.16,2.47,2.17,3.05,4.12,1.89,2.22,0.3,0.36,0.4,13.17,0.13,0.1,0.12,1.98,14.87,3.39,2.61,1.51,3.06,2.17,4.29,2.1,0.81,0.87,0.4,3.82,0.44,2.69,0.01,1.5,6.45,2.02,1.06,1.94,0.69,1.18,5.41,10.56,1.01,10.66,1.67,6,3.15,2.49,0.31,0.2,0.44,0.01,0.22,0.83,0.01,0.01,0.36,0.42,0.03
caprio1_0_c_d.txt,1,22469,57.8,82.08,14.19,24.64,14.7,18.78,82.3,51.11,14.47,6.01,6.11,11.7,8.38,4.87,6.36,1.93,16.26,3.16,1.75,1.77,5.03,2.2,3.24,1.56,1.63,0.27,0.23,0.12,12.17,0.24,0.12,0.16,3.12,13.08,3.85,2.08,1.35,2.78,1.57,3.47,2.02,0.77,1.01,0.14,4.56,0.5,2.38,0.05,2.32,5.71,1.1,1.41,1.52,0.93,1.04,6.48,8.1,0.71,10.41,1.21,4.95,4.47,2.51,0.32,0.08,0.42,0.01,0.12,0.32,0,0.03,0.15,0.12,0
collar1_0_c_d.txt,1,21825,53.4,87.28,6.6,35.11,15.58,15.14,75.26,48.2,16.59,6.42,5.22,10.25,7.76,4.11,4.8,1.98,15.27,2.31,1.39,1.88,13.75,1.62,2.26,1.37,0.83,0.06,0.12,0.08,14.4,0.46,0.07,4.33,1.16,11.36,3.45,1.51,1.13,2.16,1.48,3.29,2.3,0.61,1.51,0.1,3.95,0.38,2.29,0.01,1.94,4.76,1.26,1.17,1.4,0.55,0.61,6.15,7.34,0.67,9.58,1.21,3.97,4.55,1.89,0.38,0.14,0.36,0.05,0.08,0.42,0,0.06,0.16,0.16,0.01
purdo1_1_c_p.txt,1,22398,27.02,84.79,15.67,43.42,14.81,15.3,88.37,58.82,18.5,8.16,6.41,10.03,11.36,5.52,8.3,2.29,19.81,2.73,1.51,2.47,1.76,2.1,3.71,2.33,1.36,0.13,0.24,0.34,13.7,0.17,0.12,0.26,2.03,14.75,4.15,2.06,2.03,2.75,1.57,4.22,1.99,0.82,0.9,0.16,3.5,0.69,1.94,0.05,1.16,6.17,1.8,1.21,2.14,0.83,0.65,4.77,12.46,1.25,9.35,1.3,4.35,3.86,2.21,0.53,0.1,0.58,0.03,0.32,0.63,0.01,0.12,0.33,0.11,0
perrotto1_0_c_d.txt,1,24186,51.85,79.13,13.42,20.22,14.97,19.33,84.48,53.33,15.79,7.34,6.57,11.42,8.78,4.73,6.89,2.12,17.13,2.91,1.6,1.96,2.46,1.95,3.63,1.59,1.96,0.17,0.27,0.41,11.93,0.33,0.12,0.44,2.93,13.6,3.95,2.35,1.39,2.69,1.72,3.67,2.38,0.81,1.06,0.42,4.46,0.59,2.58,0.02,1.8,5.85,1.5,1.41,1.59,0.78,0.84,6.44,8.7,0.75,9.53,1.26,4.43,3.89,2.38,0.26,0.1,0.3,0.01,0.17,0.53,0.01,0.07,0.22,0.17,0.01
lewis1_0_c_p.txt,1,15549,40.81,77.8,15.75,38.21,11.5,17.45,84.8,55.55,17.69,8.22,6.12,10.95,10.21,4.9,6.44,2.05,17.8,2.81,1.41,1.76,3.6,2.19,3.76,2.2,1.5,0.35,0.25,0.24,11.79,0.19,0.03,1.37,0.91,13.38,3.49,2.2,1.65,3.08,1.47,3.82,1.74,0.59,0.89,0.2,3.78,0.48,2.39,0.04,1.4,5.9,1.57,1.28,2.04,0.75,0.77,4.46,11.32,1.16,9.65,1.71,4.62,3.49,2.21,0.33,0.08,0.68,0.03,0.34,0.88,0.01,0.21,0.41,0.26,0
